mode	scenario	job	max_queue_p99_ms	max_run_p99_ms
affinity-cpu0	main	Disk:Smart:SmartDrive { label: "nvme1n1", object_path: "/org/freedesktop/UDisks2/drives/Samsung_SSD_990_PRO_4TB_S7DPNF0Y500836E" }	1.705	6.928
affinity-cpu0	main	Discovery:HardwareDiscovery:Inventory(Peripheral)	6.859	0.397
affinity-cpu0	main	Disk:DiskTemperature:NamedPath { name: "nvme0n1", path: "/sys/class/hwmon/hwmon6/temp1_input" }	0.040	5.184
affinity-cpu0	main	Discovery:MountInventory:Singleton	4.408	0.221
affinity-cpu0	main	Disk:DiskUsage:Mount("/")	2.452	0.027
affinity-cpu0	main	Discovery:HardwareDiscovery:Inventory(Smart)	0.033	2.451
affinity-cpu0	main	Network:NetworkIdentity:Singleton	0.297	1.826
affinity-cpu0	main	Disk:DiskTemperature:NamedPath { name: "nvme1n1", path: "/sys/class/hwmon/hwmon5/temp1_input" }	0.087	1.168
affinity-cpu0	main	Discovery:HardwareDiscovery:Inventory(SystemBattery)	0.053	0.527
affinity-cpu0	main	Memory:Memory:Singleton	0.524	0.057
affinity-cpu0	main	Discovery:HardwareDiscovery:Inventory(Cpu)	0.077	0.430
affinity-cpu0	main	Cpu:Cpu:CpuSources { temperature: Some("/sys/class/hwmon/hwmon10/temp1_input"), frequency: Some("/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq"), turbo: Some("/sys/devices/system/cpu/cpufreq/boost") }	0.403	0.255
affinity-cpu0	main	Network:NetworkRate:Device("tun0")	0.378	0.091
affinity-cpu0	main	Discovery:HardwareDiscovery:Inventory(Thermal)	0.040	0.345
affinity-cpu0	main	External:Brightness:Singleton	0.323	0.178
affinity-cpu0	main	Discovery:HardwareDiscovery:Inventory(Nvidia)	0.091	0.287
affinity-cpu0	main	Discovery:HardwareDiscovery:Inventory(DiskIo)	0.223	0.262
affinity-cpu0	main	Disk:DiskUsage:Mount("/run/media/bogdan/Q_16")	0.178	0.105
affinity-cpu0	main	Memory:MemoryHistory:Singleton	0.094	0.010
affinity-cpu0	main	Cpu:CpuHistory:Singleton	0.086	0.028
affinity-cpu0	main	Discovery:HardwareDiscovery:Inventory(Backlight)	0.086	0.011
affinity-cpu0	main	Discovery:HardwareDiscovery:Inventory(Intel)	0.072	0.059
affinity-cpu0	main	Network:NetworkHistory:Singleton	0.046	0.021
affinity-cpu0	graphs	Page:PageRender:Singleton	31.880	1.531
affinity-cpu0	graphs	Discovery:MountInventory:Singleton	29.126	0.209
affinity-cpu0	graphs	Discovery:HardwareDiscovery:Inventory(Network)	28.826	1.979
affinity-cpu0	graphs	Disk:DiskUsage:Mount("/run/media/bogdan/T_01")	28.671	0.080
affinity-cpu0	graphs	Disk:Smart:SmartDrive { label: "nvme0n1", object_path: "/org/freedesktop/UDisks2/drives/KINGSTON_SKC2500M82000G_50026B7684E30425" }	0.779	27.694
affinity-cpu0	graphs	Discovery:HardwareDiscovery:Inventory(Peripheral)	14.537	1.310
affinity-cpu0	graphs	Disk:DiskUsage:Mount("/run/media/bogdan/R_14")	14.372	0.085
affinity-cpu0	graphs	Disk:Smart:SmartDrive { label: "nvme1n1", object_path: "/org/freedesktop/UDisks2/drives/Samsung_SSD_990_PRO_4TB_S7DPNF0Y500836E" }	3.066	12.218
affinity-cpu0	graphs	Disk:DiskTemperature:NamedPath { name: "nvme0n1", path: "/sys/class/hwmon/hwmon6/temp1_input" }	0.079	5.814
affinity-cpu0	graphs	Disk:DiskUsage:Mount("/")	3.230	0.031
affinity-cpu0	graphs	Network:NetworkIdentity:Singleton	0.457	2.668
affinity-cpu0	graphs	Discovery:HardwareDiscovery:Inventory(Smart)	0.076	2.587
affinity-cpu0	graphs	Discovery:HardwareDiscovery:Inventory(SystemBattery)	1.343	0.645
affinity-cpu0	graphs	Disk:DiskTemperature:NamedPath { name: "nvme1n1", path: "/sys/class/hwmon/hwmon5/temp1_input" }	0.093	1.263
affinity-cpu0	graphs	Disk:DiskUsage:Mount("/run/media/bogdan/Q_16")	1.143	0.036
affinity-cpu0	graphs	Discovery:HardwareDiscovery:Inventory(Backlight)	0.770	0.024
affinity-cpu0	graphs	Discovery:HardwareDiscovery:Inventory(DiskIo)	0.686	0.266
affinity-cpu0	graphs	Discovery:HardwareDiscovery:Inventory(Intel)	0.642	0.049
affinity-cpu0	graphs	Discovery:HardwareDiscovery:Inventory(Thermal)	0.606	0.347
affinity-cpu0	graphs	External:Brightness:Singleton	0.491	0.092
affinity-cpu0	graphs	Memory:Memory:Singleton	0.437	0.046
affinity-cpu0	graphs	Discovery:HardwareDiscovery:Inventory(Cpu)	0.103	0.365
affinity-cpu0	graphs	Discovery:HardwareDiscovery:Inventory(Nvidia)	0.271	0.327
affinity-cpu0	graphs	Cpu:Cpu:CpuSources { temperature: Some("/sys/class/hwmon/hwmon10/temp1_input"), frequency: Some("/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq"), turbo: Some("/sys/devices/system/cpu/cpufreq/boost") }	0.253	0.323
