implementation	mode	scenario	repetition	window	wall_seconds	user_ticks	system_ticks	child_user_ticks	child_system_ticks	rss_peak_kib	voluntary_context_switches	involuntary_context_switches	child_exec_attempts	successful_child_execs	child_exits_zero	publication_writes	publication_bytes	publication_method
candidate	normal	processes	2	setup	0.070000	0	1	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	normal	processes	2	steady	8.010000	3	8	0	0	9028	0	0	0	0	0	8	48916	bounded-stat-poll-0.1s
candidate	normal	processes	3	startup	0.150000	0	1	0	0	9100	272	0	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	normal	processes	3	setup	0.070000	0	1	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	normal	processes	3	steady	8.020000	2	8	0	0	9100	0	0	0	0	0	9	53793	bounded-stat-poll-0.1s
candidate	normal	unavailable-service	1	startup	0.150000	0	1	0	0	7876	269	0	3	3	0	2	13585	bounded-stat-poll-0.1s
candidate	normal	unavailable-service	1	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	normal	unavailable-service	1	steady	8.020000	2	1	0	0	7876	0	0	0	0	0	8	58405	bounded-stat-poll-0.1s
candidate	normal	unavailable-service	2	startup	0.150000	0	1	0	0	7876	272	1	3	3	0	2	13585	bounded-stat-poll-0.1s
candidate	normal	unavailable-service	2	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	normal	unavailable-service	2	steady	8.020000	2	1	0	0	7876	0	0	0	0	0	8	58435	bounded-stat-poll-0.1s
candidate	normal	unavailable-service	3	startup	0.150000	0	1	0	0	8452	269	2	3	3	0	2	13585	bounded-stat-poll-0.1s
candidate	normal	unavailable-service	3	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	normal	unavailable-service	3	steady	8.010000	2	0	0	0	8452	0	0	0	0	0	7	53564	bounded-stat-poll-0.1s
candidate	normal	timeout	1	startup	0.180000	0	1	0	0	9280	273	0	3	3	0	2	13866	bounded-stat-poll-0.1s
candidate	normal	timeout	1	setup	6.060000	1	0	0	0	9280	3	0	2	2	0	6	27767	bounded-stat-poll-0.1s
candidate	normal	timeout	1	steady	8.030000	1	1	0	1	9280	3	0	2	2	0	3	14523	bounded-stat-poll-0.1s
candidate	normal	timeout	2	startup	0.140000	0	1	0	0	8252	273	4	3	3	0	2	13876	bounded-stat-poll-0.1s
candidate	normal	timeout	2	setup	6.100000	1	0	0	0	8252	4	0	2	2	0	5	22926	bounded-stat-poll-0.1s
candidate	normal	timeout	2	steady	8.020000	1	1	0	0	8508	4	0	2	2	0	1	4841	bounded-stat-poll-0.1s
candidate	normal	timeout	3	startup	0.150000	0	1	0	0	8452	269	0	3	3	0	2	13876	bounded-stat-poll-0.1s
candidate	normal	timeout	3	setup	6.100000	1	1	0	0	8452	3	0	2	2	0	3	13244	bounded-stat-poll-0.1s
candidate	normal	timeout	3	steady	8.030000	1	0	0	0	8452	6	0	2	2	0	4	19364	bounded-stat-poll-0.1s
candidate	cpu0	hidden	1	startup	0.200000	0	1	0	0	9220	472	4	3	3	0	1	4605	bounded-stat-poll-0.1s
candidate	cpu0	hidden	1	setup	1.140000	0	0	0	0	9988	0	0	0	0	0	1	9132	bounded-stat-poll-0.1s
candidate	cpu0	hidden	1	steady	8.010000	1	0	0	0	9988	0	0	0	0	0	6	29046	bounded-stat-poll-0.1s
candidate	cpu0	hidden	2	startup	0.210000	0	1	0	0	9224	472	3	3	3	0	1	4605	bounded-stat-poll-0.1s
candidate	cpu0	hidden	2	setup	1.140000	1	0	0	0	9992	0	0	0	0	0	1	9147	bounded-stat-poll-0.1s
candidate	cpu0	hidden	2	steady	8.010000	0	0	0	0	9992	0	0	0	0	0	1	4841	bounded-stat-poll-0.1s
candidate	cpu0	hidden	3	startup	0.210000	1	0	0	0	9028	472	1	3	3	0	1	4605	bounded-stat-poll-0.1s
candidate	cpu0	hidden	3	setup	1.110000	0	0	0	0	9796	0	0	0	0	0	1	9147	bounded-stat-poll-0.1s
candidate	cpu0	hidden	3	steady	8.030000	1	1	0	0	9796	0	0	0	0	0	2	9682	bounded-stat-poll-0.1s
candidate	cpu0	main	1	startup	0.160000	0	1	0	0	9788	472	5	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	cpu0	main	1	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	cpu0	main	1	steady	8.000000	1	1	0	0	9788	0	0	0	0	0	8	60450	bounded-stat-poll-0.1s
candidate	cpu0	main	2	startup	0.160000	0	2	0	0	9672	475	1	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	cpu0	main	2	setup	0.020000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	cpu0	main	2	steady	8.020000	1	0	0	0	9672	0	0	0	0	0	7	55579	bounded-stat-poll-0.1s
candidate	cpu0	main	3	startup	0.150000	1	1	0	0	9612	469	2	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	cpu0	main	3	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	cpu0	main	3	steady	8.020000	0	1	0	0	9612	0	0	0	0	0	9	65291	bounded-stat-poll-0.1s
candidate	cpu0	graphs	1	startup	0.160000	0	1	0	0	9724	472	3	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	cpu0	graphs	1	setup	0.080000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	cpu0	graphs	1	steady	8.010000	2	1	0	0	10424	0	0	0	0	0	11	76043	bounded-stat-poll-0.1s
candidate	cpu0	graphs	2	startup	0.160000	0	1	0	0	9676	469	1	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	cpu0	graphs	2	setup	0.070000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	cpu0	graphs	2	steady	8.000000	3	1	0	0	10636	0	0	0	0	0	8	58938	bounded-stat-poll-0.1s
candidate	cpu0	graphs	3	startup	0.150000	0	1	0	0	9612	475	6	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	cpu0	graphs	3	setup	0.070000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	cpu0	graphs	3	steady	8.030000	3	1	0	0	10328	0	0	0	0	0	10	76572	bounded-stat-poll-0.1s
candidate	cpu0	processes	1	startup	0.160000	1	0	0	0	9660	475	1	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	cpu0	processes	1	setup	0.080000	0	1	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	cpu0	processes	1	steady	8.020000	1	8	0	0	9916	0	0	0	0	0	9	53729	bounded-stat-poll-0.1s
candidate	cpu0	processes	2	startup	0.140000	1	1	0	0	9728	472	8	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	cpu0	processes	2	setup	0.070000	0	1	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	cpu0	processes	2	steady	8.010000	1	8	0	0	9984	0	0	0	0	0	9	53754	bounded-stat-poll-0.1s
candidate	cpu0	processes	3	startup	0.170000	0	1	0	0	9740	475	3	3	3	0	2	13988	bounded-stat-poll-0.1s
candidate	cpu0	processes	3	setup	0.070000	0	1	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	cpu0	processes	3	steady	8.010000	2	9	0	0	9996	0	0	0	0	0	7	44032	bounded-stat-poll-0.1s
candidate	cpu0	unavailable-service	1	startup	0.160000	0	1	0	0	8844	476	3	3	3	0	2	13585	bounded-stat-poll-0.1s
candidate	cpu0	unavailable-service	1	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
candidate	cpu0	unavailable-service	1	steady	8.010000	1	1	0	0	9100	0	0	0	0	0	8	58425	bounded-stat-poll-0.1s
