implementation	mode	scenario	repetition	window	wall_seconds	user_ticks	system_ticks	child_user_ticks	child_system_ticks	rss_peak_kib	voluntary_context_switches	involuntary_context_switches	child_exec_attempts	successful_child_execs	child_exits_zero	publication_writes	publication_bytes	publication_method
candidate	normal	graphs	1	steady	8.010000	4	1	NA:untraced_resource_run	NA:untraced_resource_run	9740	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	6	47901	bounded-stat-poll-0.1s
candidate	normal	graphs	2	startup	0.140000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	8688	2	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	8769	bounded-stat-poll-0.1s
candidate	normal	graphs	2	setup	0.070000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	8944	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	10949	bounded-stat-poll-0.1s
candidate	normal	graphs	2	steady	8.010000	3	0	NA:untraced_resource_run	NA:untraced_resource_run	9200	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	6	48883	bounded-stat-poll-0.1s
candidate	normal	graphs	3	startup	0.130000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	9220	2	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	8769	bounded-stat-poll-0.1s
candidate	normal	graphs	3	setup	0.070000	1	0	NA:untraced_resource_run	NA:untraced_resource_run	9220	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	10949	bounded-stat-poll-0.1s
candidate	normal	graphs	3	steady	8.020000	3	1	NA:untraced_resource_run	NA:untraced_resource_run	10200	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	6	47685	bounded-stat-poll-0.1s
candidate	normal	processes	1	startup	0.120000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	8964	2	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	8769	bounded-stat-poll-0.1s
candidate	normal	processes	1	setup	0.080000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	8964	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	8772	bounded-stat-poll-0.1s
candidate	normal	processes	1	steady	8.020000	2	5	NA:untraced_resource_run	NA:untraced_resource_run	8964	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	7	44995	bounded-stat-poll-0.1s
